Countries,Year,Male_count,Female_count,Total Population,Domestic Revenue (In Billions),International revenue (In Billions),Total Revenue (In Billions),International Arrivals,Literacy,Crime Rate,Currency,Curr_$,Salary/Hour
Aruba,2010,48465,53200,101665,1,1.5,2.5,1394000,97.34,3.93,AWG,1.79,4.68
Aruba,2011,48648,53402,102050,1,1.7,2.6,1469000,97.23,1.96,AWG,1.79,4.79
Aruba,2012,48870,53695,102565,1,1.6,2.6,1481000,96.45,3.9,AWG,1.79,4.86
Aruba,2013,49115,54050,103165,1.1,1.6,2.7,1667000,96.82,5.82,AWG,1.79,5.05
Aruba,2014,49368,54408,103776,1.1,1.7,2.8,1739000,96.83,1.93,AWG,1.79,5.13
Aruba,2015,49597,54742,104339,1.2,1.8,3,1832000,97.54,1.94,AWG,1.79,5.26
Aruba,2016,49821,55044,104865,1.2,1.8,3,1758000,66.75,3.93,AWG,1.79,5.4
Aruba,2017,50033,55328,105361,1.2,1.9,3.1,1863000,67.08,2.82,AWG,1.79,5.52
Aruba,2018,50244,55602,105846,1.3,1.9,3.2,1897000,69.43,2.69,AWG,1.79,5.61
Aruba,2019,50443,55867,106310,1.4,1.9,3.3,1951000,72.38,2.57,AWG,1.79,5.75
Aruba,2020,50642,56124,106766,1.1,1.4,2.5,1958000,75.59,2.51,AWG,1.79,5.88
Aruba,2021,50828,56367,107195,1.4,1.4,2.8,1989000,75.69,2.59,AWG,1.79,5.91
Aruba,2022,51189,56697,107886,1.8,1.5,3.2,2000960,75.78,2.63,AWG,1.8,5.99
United Arab Emirates,2010,6395966,2154032,8549998,3.9,285.9,289.8,9053369,75.47,0.78,AED,3.67,3.42
United Arab Emirates,2011,6648748,2298030,8946778,4.1,346.5,350.7,9452738,76.68,0.57,AED,3.67,3.95
United Arab Emirates,2012,6713315,2428283,9141598,5,369.6,374.6,9845789,77.42,0.75,AED,3.67,4.37
United Arab Emirates,2013,6653157,2544751,9197908,5.3,384.8,390.1,12248259,77.79,0.62,AED,3.67,4.56
United Arab Emirates,2014,6565277,2648905,9214182,5.3,397.9,403.1,15360194,78.25,0.66,AED,3.67,5.2
United Arab Emirates,2015,6520854,2742042,9262896,0.8,357.4,358.1,19313000,78.58,0.65,AED,3.67,5.4
United Arab Emirates,2016,6537834,2823141,9360975,0.8,356.5,357,20894000,95.32,1.12,AED,3.67,5.95
United Arab Emirates,2017,6595482,2891724,9487206,0.8,384.7,385.6,21805000,95.56,1.25,AED,3.67,6.55
United Arab Emirates,2018,6680357,2950609,9630966,0.8,421.3,422.2,23092000,96.78,1.17,AED,3.67,7.02
United Arab Emirates,2019,6766806,3003720,9770526,14.9,402.3,417.2,25282000,97.47,1.18,AED,3.67,7.85
United Arab Emirates,2020,6836349,3054051,9890400,8.8,350.1,358.9,8084000,98.61,1.16,AED,3.67,8.04
United Arab Emirates,2021,6888345,3102738,9991083,11,399,410,12322690,98.89,1.14,AED,3.67,8.67
United Arab Emirates,2022,6932472,2508657,9441129,15.2,486.1,501.4,16562764,97.73,1.15,AED,3.67,9.1
Argentina,2010,19846543,20941910,40788453,210,213.6,423.6,6800000,97.56,5.83,ARS,3.89,1.85
Argentina,2011,20082606,21178884,41261490,254.2,275.9,530.2,6703000,97.34,6.08,ARS,4.11,1.83
Argentina,2012,20318174,21415097,41733271,204.3,341.7,546,6497000,96.57,6.34,ARS,4.53,1.58
Argentina,2013,20552749,21650186,42202935,135.1,417,552,6510000,96.42,7.28,ARS,5.45,2.02
Argentina,2014,20785770,21883730,42669500,117.2,409.1,526.3,7165000,96.32,7.57,ARS,8.07,2.16
Argentina,2015,21016705,22115261,43131966,152.3,442.5,594.7,6816000,96.14,6.59,ARS,9.23,2.76
Argentina,2016,21245521,22344847,43590368,129.4,428.2,557.5,6668000,93.07,6.03,ARS,14.75,3.42
